Keyword,CatID,CatID_fixed,map_status,note
pipe pressure,PRESSURE,,NO_MATCH,not found in ucs_catid_list
pipe burst,BURST,,AMBIGUOUS,SubCategory 'BURST' maps to 2 CatIDs
pipe crack,CRACK,,NO_MATCH,not found in ucs_catid_list
steam burst,STEAM,,AMBIGUOUS,SubCategory 'STEAM' maps to 3 CatIDs
steam leak,STEAM,,AMBIGUOUS,SubCategory 'STEAM' maps to 3 CatIDs
steam vent,STEAM,,AMBIGUOUS,SubCategory 'STEAM' maps to 3 CatIDs
pressure burst,BURST,,AMBIGUOUS,SubCategory 'BURST' maps to 2 CatIDs
pressure build,TENSION,,NO_MATCH,not found in ucs_catid_list
pressure release,RELEASE,,NO_MATCH,not found in ucs_catid_list
pressure valve,VALVE,,NO_MATCH,not found in ucs_catid_list
valve click,CLICK,,AMBIGUOUS,SubCategory 'CLICK' maps to 2 CatIDs
valve release,RELEASE,,NO_MATCH,not found in ucs_catid_list
valve open,OPEN,,NO_MATCH,not found in ucs_catid_list
valve close,CLOSE,,NO_MATCH,not found in ucs_catid_list
air burst,BURST,,AMBIGUOUS,SubCategory 'BURST' maps to 2 CatIDs
air pressure,PRESSURE,,NO_MATCH,not found in ucs_catid_list
air rush,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
air swirl,WHOOSH,,AMBIGUOUS,SubCategory 'WHOOSH' maps to 3 CatIDs
air release,RELEASE,,NO_MATCH,not found in ucs_catid_list
air vent,VENT,,NO_MATCH,not found in ucs_catid_list
air suction,SUCTION,,AMBIGUOUS,SubCategory 'SUCTION' maps to 2 CatIDs
air pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
electric snap,SNAP,,NO_MATCH,not found in ucs_catid_list
electric surge,ELECTRIC,,AMBIGUOUS,SubCategory 'ELECTRIC' maps to 5 CatIDs
electric pulse,PULSE,,NO_MATCH,not found in ucs_catid_list
electric shock,ELECTRIC,,AMBIGUOUS,SubCategory 'ELECTRIC' maps to 5 CatIDs
coil hum,HUM,,NO_MATCH,not found in ucs_catid_list
coil buzz,BUZZ,,NO_MATCH,not found in ucs_catid_list
coil resonance,RESONANCE,,NO_MATCH,not found in ucs_catid_list
circuit click,CLICK,,AMBIGUOUS,SubCategory 'CLICK' maps to 2 CatIDs
circuit hum,HUM,,NO_MATCH,not found in ucs_catid_list
panel click,CLICK,,AMBIGUOUS,SubCategory 'CLICK' maps to 2 CatIDs
panel slide,SLIDE,,NO_MATCH,not found in ucs_catid_list
panel open,MOVEMENT,,AMBIGUOUS,SubCategory 'MOVEMENT' maps to 17 CatIDs
panel close,MOVEMENT,,AMBIGUOUS,SubCategory 'MOVEMENT' maps to 17 CatIDs
switch hum,BUZZ,,NO_MATCH,not found in ucs_catid_list
switch buzz,BUZZ,,NO_MATCH,not found in ucs_catid_list
